condition,attractor,library,term,p_value,adj_p_value,overlap,genes
IFN-stimulated,A1,Reactome_2022,TRAF3-dependent IRF Activation Pathway R-HSA-918233,3.4964195838641254e-19,2.456234757664548e-17,10/15,IFIH1;MAVS;TBK1;IRF3;IFNB1;TRAF3;IRF7;TRIM25
IFN-stimulated,A1,Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,4.757388058084926e-19,2.970724542937476e-17,17/107,IKBIP;JUN;RIPK3;LY96;FOS;MAPK11;TBK1;CASP8
IFN-stimulated,A1,Reactome_2022,SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,4.19302780078985e-18,2.3564816240438954e-16,17/121,IFNAR2;IFNB1;STAT1;STAT2;ISG15;TYK2;IFIH1;MAVS
BCR-stimulated,A1,KEGG_2021_Human,Fc epsilon RI signaling pathway,1.0149236230975755e-24,1.8471609940375877e-22,14/68,LYN;MAP2K1;CSF2;SYK;TNF;IL4;MAPK11;IL5
BCR-stimulated,A1,KEGG_2021_Human,Epstein-Barr virus infection,5.139886977968706e-23,4.6772971499515215e-21,17/202,LYN;CDKN1A;JUN;GADD45B;SYK;STAT1;EIF2AK2;TNF
BCR-stimulated,A1,KEGG_2021_Human,T cell receptor signaling pathway,6.216923828345407e-22,3.77160045586288e-20,14/104,IL10;JUN;MAP2K1;CSF2;FOS;TNF;IL2;IL4
BCR-stimulated,A1,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1.521257764792759e-21,6.871519005040135e-20,16/193,LYN;CDKN1A;JUN;MAP2K1;CSF2;SYK;STAT1;EIF2AK2
BCR-stimulated,A1,KEGG_2021_Human,B cell receptor signaling pathway,1.887779946439597e-21,6.871519005040135e-20,13/81,LYN;JUN;MAP2K1;SYK;FOS;CD79B;CD79A;BLNK
BCR-stimulated,A1,KEGG_2021_Human,Hepatitis B,6.113565201299079e-21,1.8544481110607204e-19,15/162,CDKN1A;JUN;MAP2K1;STAT1;FOS;TNF;MAPK11;CASP3
BCR-stimulated,A1,KEGG_2021_Human,Osteoclast differentiation,1.1712665985505524e-20,3.045293156231436e-19,14/127,JUN;MAP2K1;SYK;STAT1;FOS;TNF;MAPK11;IFNG
BCR-stimulated,A1,KEGG_2021_Human,Pathways in cancer,1.0664787111721041e-18,2.4262390679165368e-17,19/531,CDKN1A;JUN;MAP2K1;GADD45B;MAX;STAT1;FOS;IL2
BCR-stimulated,A1,KEGG_2021_Human,p53 signaling pathway,6.403123636379012e-18,1.2948538909121999e-16,11/73,CDKN1A;RRM2;CD82;GADD45B;CASP3;SESN1;SHISA5;MDM2
BCR-stimulated,A1,KEGG_2021_Human,Proteoglycans in cancer,1.1386199547046909e-17,2.072288317562537e-16,14/205,CDKN1A;MAP2K1;TNF;MAPK11;RRAS;CASP3;PLCG2;MDM2
BCR-stimulated,A1,Reactome_2022,Signaling By Interleukins R-HSA-449147,4.408072920377117e-28,2.4244401062074146e-25,24/453,IKBIP;IL10;LYN;CDKN1A;JUN;MAP2K1;CSF2;SYK
BCR-stimulated,A1,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,1.2429537580526151e-26,3.4181228346446924e-24,26/702,CDKN1A;CSF2;TNF;MUC1;CASP3;BLNK;MAP2K6;MAPK3
BCR-stimulated,A1,Reactome_2022,Immune System R-HSA-168256,2.6846216430937613e-24,4.921806345671897e-22,33/1943,CDKN1A;CSF2;LY96;TNF;CD79B;CD79A;MUC1;CASP3
BCR-stimulated,A1,Reactome_2022,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,3.305408914811802e-18,4.544937257866228e-16,13/140,IKBIP;JUN;MAP2K1;RIPK3;LY96;FOS;MAPK11;PLCG2
BCR-stimulated,A1,Reactome_2022,Toll-like Receptor Cascades R-HSA-168898,2.3110017031405992e-17,2.542101873454659e-15,13/162,IKBIP;JUN;MAP2K1;RIPK3;LY96;FOS;MAPK11;PLCG2
BCR-stimulated,A1,Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,5.287336006227905e-16,4.846724672375578e-14,11/107,IKBIP;MAPK11;JUN;MAP2K1;RIPK3;LY96;FOS;TLR4
BCR-stimulated,A1,Reactome_2022,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,8.885336150140816e-16,6.981335546539213e-14,11/112,IKBIP;MAPK11;JUN;MAP2K1;BTK;LY96;FOS;TLR4
BCR-stimulated,A1,Reactome_2022,Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,2.5808651821541414e-15,1.7743448127309726e-13,8/31,CD79B;LYN;CD79A;SYK;BLNK;PLCG2;BTK;GRB2
BCR-stimulated,A1,Reactome_2022,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,1.88185329490634e-14,1.1456929849874066e-12,10/101,IKBIP;MAPK11;JUN;MAP2K1;LY96;FOS;TLR4;TP53
