node,value,max_disease,in_ap1_p38,eliminates_thr5,eliminates_thr6,eliminates_thr7
TP53_phosphorylated,1,7,0,0,0,0
T_Cell_Activation_Differentiation_phenotype,0,6,0,0,0,1
T_Cell_Activation_Differentiation_phenotype,1,7,0,0,0,0
VCAM1,0,7,0,0,0,0
VCAM1,1,7,0,0,0,0
XIAP_Cell,0,7,0,0,0,0
XIAP_Cell,1,7,0,0,0,0
XIAP_Cell_active,0,7,0,0,0,0
XIAP_Cell_active,1,7,0,0,0,0
XIAP_rna,0,7,0,0,0,0
XIAP_rna,1,7,0,0,0,0
