condition,node_a,node_b,baseline_max_disease,mono_a_max_disease,mono_b_max_disease,pair_n_fp,pair_max_disease,pair_eliminates,synergy
Naive (homeostatic),JAK2_phosphorylated,MAPK11_12_13_14_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),JAK2_phosphorylated,STAT2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JAK2_phosphorylated,SYK_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JAK2_phosphorylated,TNFRSF13C,7,7,7,2,7,0,0
Naive (homeostatic),JAK2_phosphorylated,TYK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JAK3_phosphorylated,JUN_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),JAK3_phosphorylated,MAP2K6_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),JAK3_phosphorylated,MAPK11_12_13_14_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),JAK3_phosphorylated,STAT2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JAK3_phosphorylated,SYK_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JAK3_phosphorylated,TNFRSF13C,7,7,7,2,7,0,0
Naive (homeostatic),JAK3_phosphorylated,TYK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JUN_phosphorylated,MAP2K6_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),JUN_phosphorylated,MAPK11_12_13_14_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),JUN_phosphorylated,STAT2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),JUN_phosphorylated,SYK_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),JUN_phosphorylated,TNFRSF13C,7,2,7,2,2,1,0
Naive (homeostatic),JUN_phosphorylated,TYK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),MAP2K6_phosphorylated,MAPK11_12_13_14_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),MAP2K6_phosphorylated,STAT2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),MAP2K6_phosphorylated,SYK_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),MAP2K6_phosphorylated,TNFRSF13C,7,2,7,2,2,1,0
Naive (homeostatic),MAP2K6_phosphorylated,TYK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),MAPK11_12_13_14_phosphorylated,STAT2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),MAPK11_12_13_14_phosphorylated,SYK_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),MAPK11_12_13_14_phosphorylated,TNFRSF13C,7,2,7,2,2,1,0
Naive (homeostatic),MAPK11_12_13_14_phosphorylated,TYK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),STAT2_phosphorylated,SYK_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),STAT2_phosphorylated,TNFRSF13C,7,7,7,2,7,0,0
Naive (homeostatic),STAT2_phosphorylated,TYK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),SYK_phosphorylated,TNFRSF13C,7,7,7,2,7,0,0
Naive (homeostatic),SYK_phosphorylated,TYK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),TNFRSF13C,TYK2_phosphorylated,7,7,7,2,7,0,0
IFN-stimulated,AP1_complex,BTK_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,EIF2AK2_homodimer,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,FOS_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,JAK1_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,JAK2_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,JAK3_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,JUN_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,MAP2K6_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,MAPK11_12_13_14_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,STAT2_phosphorylated,0,0,7,1,6,0,0
IFN-stimulated,AP1_complex,SYK_phosphorylated,0,0,0,0,0,1,0
IFN-stimulated,AP1_complex,TNFRSF13C,0,0,0,0,0,1,0
