csa51,CpG_DNA/TLR9_complex,s2304,CpG_DNA_simple_molecule
csa52,TLR3/dsRNA/PolyIC_complex,s1072,dsRNA/polyIC_simple_molecule
csa56,IKBKE/TBK1_complex,s362,TRAF3
csa57,IFNB/IFNAR_complex,s380,IFNB1_Extracellular_ligands&IFNAR_complex
csa58,IL7/IL7R_complex,s411,IL7/IL7R_complex
csa6,STAT1/STAT2/IRF9_complex_nucleus,s2168,STAT1/STAT2/IRF9_complex_Cell&KPNB1
csa63,IL12/IL12R_complex,s457,IL12/IL12R_complex
csa65,BCR_complex,s2036,BCR_complex
csa66,Calmodulin/Ca2+_complex,s516,CALM1&ca2_ion&!CAMKMT
csa71,TNF/TNFR2_complex,s1801,TNF_Extracellular_ligands&TNFRSF1B
csa72,PIP3/IP3R_complex,s743,"PI(3,4,5)P3_simple_molecule"
csa74,LPS/CD14/TL4/LY96_complex,s756,LPS_simple_molecule&TLR4/LY96_complex
csa76,TLR4/LY96_complex,s760,TLR4_rna
csa81,TLR5/flagellin_complex,s795,flagellin_simple_molecule
csa82,TLR2/TLR6/CD36_complex,s2038,PG_simple_molecule
csa84,TLR1/TLR2/CD14_complex,s2032,PG_simple_molecule
csa87,XCL1-XCL2/XCR1_complex,s2305,(XCL1&XCR1|XCL2&XCR1)
csa88,CXCL6/CXCR1_complex,s869,CXCL6
csa89,CXCL5/CXCR2_complex,s873,CXCL5&CXCR2
csa90,CXCL6/CXCR2_complex,s876,(CXCL6&CXCR2|CXCL1_Extracellular_ligands&CXCR2)
csa91,LXA4-CCL23/FPR2_complex,s2309,(LXA4&FPR2|FPR2&CCL23)
csa92,CXCL9-10-11/CXCR3_complex,s2307,(CXCL9_Extracellular_ligands&CXCR3|CXCL10_Extracellular_ligands&CXCR3|CXCL11_Extracellular_ligands&CXCR3)
csa93,CXCL16/CXCR6_complex,s922,CXCL16
csa94,CCL20/CCR6_complex,s925,CCL20
csa95,CCL16/CCR1_complex,s928,CCL16
csa96,C5a/C5AR1_complex,s931,C5a
csa97,C3a/CA3R1_complex,s934,C3a
csa98,CCL19-21/CCR7_complex,s2308,(CCL21_Extracellular_ligands&CCR7|CCL19_Extracellular_ligands&CCR7)
csa99,CXCL12/CXCR4_complex,s938,CXCL12_Extracellular_ligands
sa10,IFNA_Extracellular_ligands,s13,IFNA_Extracellular_ligands
sa100,TNFAIP3_rna,s144,RELA/NFKB1_complex
sa102,TNFAIP3,s146,TNFAIP3_rna
sa103,EDA,s147,EDA
sa1032,FCGR1A,s2019,FCGR1A_rna
sa105,Inflammation_phenotype,s149,(OAS1|OAS2|OAS3|OASL|ISG20|IL15|IL23A|TRIM21|TNF_Secreted_molecules|IFITM1|IFITM2|IFITM3|IFI6|IFIT1|IFIT2|IFIT3|IFIT5|IFI35|IFI30|TRIM5|TRIM6|TRIM14|TRIM22|TRIM34|IFNA_Secreted_molecules|IFNB1_Secreted_molecules|IFNG|FCGR1BP|CXCL12_Secreted_molecules|IL1B|PTGS2|IL4|ISG15_rna|IL2|CSF2|IL6|IL17A|CXCL2|IL10|IL12|CXCL3|CXCL8|CCL3|CCL4)
sa1050,Phagocytosis_phenotype,s1376,(Ag/IgG/FCGR1A_complex|Ag/IgG/FCGR2A_complex|Ag/IgG/FCGR3A_complex)
sa1079,NLRX1,s1444,NLRX1
sa1080,USP18,s1445,USP18
sa1081,NLRC5,s1446,NLRC5
sa1082,IKBIP,s1447,IKBIP_rna
sa1085,IKBIP_rna,s1450,TP53_phosphorylated
sa1098,CDKN1A_rna,s1465,TP53_phosphorylated
sa1118,CCL2_Extracellular_ligands,s1505,CCL2_Extracellular_ligands
sa1126,CCL5_Extracellular_ligands,s1515,CCL5_Extracellular_ligands
sa1141,ICOSLG,s1532,ICOSLG
sa1145,IL21,s1536,STAT3 homodimer_phosphorylated_nucleus
sa1151,IL6,s1542,(LPS/CD14/TL4/LY96_complex|ICOSLG/ICOS_complex|RELA/NFKB1_complex)
sa1154,PTPN6,s1789,(PDL1/PD1_complex|CD72|CD80-86/CTLA4_complex)
sa1160,CCL11,s1556,CCL11
sa1168,TNF_Extracellular_ligands,s1565,TNF_Extracellular_ligands
sa1176,PG_simple_molecule,s1575,PG_simple_molecule
sa1179,ICAM1_rna,s1578,(LPS/CD14/TL4/LY96_complex|NFKB2/RELB_complex|STAT1 homodimer_phosphorylated|RELA/NFKB1_complex)
sa118,LPS_simple_molecule,s170,LPS_simple_molecule
sa1180,CD40_rna,s1579,(TLR1/TLR2/CD14_complex|TLR2/TLR6/CD36_complex|LPS/CD14/TL4/LY96_complex|IRF3)
sa1184,Chemotaxis/Infiltration_phenotype,s1591,"(IL17A|CCL5_Secreted_molecules|CCL2_Secreted_molecules|NFATC1,2,3|IL21|CXCL9_Secreted_molecules|CXCL10_Secreted_molecules|CXCL11_Secreted_molecules|C5a/C5AR1_complex|C3a/CA3R1_complex|MUC1|CCL13|CCL19_Secreted_molecules|CCL21_Secreted_molecules|CXCL1_Secreted_molecules|CXCL3|CXCL8|IL5|VCAM1|CCL3|CCL4|CXCL12_Secreted_molecules)"
sa1189,IL17A,s1592,(STAT3 homodimer_phosphorylated_nucleus|RELA/NFKB1_complex)
sa1190,IL23A,s1593,(TLR1/TLR2/CD14_complex|RELA/NFKB1_complex|IRF3)
sa1200,IL12,s1603,(LPS/CD14/TL4/LY96_complex|RELA/NFKB1_complex)
sa1201,CCL2_Secreted_molecules,s1604,(LPS/CD14/TL4/LY96_complex|TLR7/ssRNA_complex|CpG_DNA/TLR9_complex)
sa1202,CCL5_Secreted_molecules,s1605,(LPS/CD14/TL4/LY96_complex|IRF5_nucleus)
sa1205,TNFSF13B_Secreted_molecules,s1608,(TLR3/dsRNA/PolyIC_complex|LPS/CD14/TL4/LY96_complex|CpG_DNA/TLR9_complex|NFKB2/RELB_complex)
sa1209,PRMT5,s1612,PRMT5
sa1210,TP53_phosphorylated,s2205,EIF2AK2 homodimer&!MDM2_Cell_active
sa1218,HNRNPA2B1_rna,s1621,STAT4 homodimer_phosphorylated
sa1219,RPLP0_rna,s1622,STAT4 homodimer_phosphorylated
sa122,MYD88,s178,(TIRAP|TLR7/ssRNA_complex|TLR8/ssRNA_complex|CpG_DNA/TLR9_complex|TLR5/flagellin_complex|TLR10L/TLR10_complex|IL1R_complex)
sa1220,ARF1_rna,s1623,STAT4 homodimer_phosphorylated
sa1221,PSME2_rna,s1624,STAT4 homodimer_phosphorylated
