alias_id,species_id,biological_name
sa694,s882,CXCR6
sa695,s1034,CCR6
sa696,s1037,C5AR1
sa697,s1036,C3AR1
sa698,s1035,CCR1
sa699,s887,CCR7
sa7,s58,s58
sa70,s287,s287
sa700,s888,CXCR4
sa701,s889,CX3CR1
sa702,s1038,CCRL2
sa706,s894,CXCL16
sa707,s895,C5a
sa709,s897,C3a
sa71,s2004,s2004
sa711,s898,CCL20
sa712,s899,CCL16
sa714,s901,CX3CL1
sa715,s902,CCL19
sa716,s903,CXCL12
sa719,s906,FPR2
sa723,s910,s910
sa728,s916,s916
sa729,s1699,s1699
sa731,s1898,s1898
sa732,s1899,s1899
sa733,s1902,s1902
sa734,s1903,s1903
sa735,s926,s926
sa736,s927,s927
sa737,s929,s929
sa738,s930,s930
sa739,s932,s932
sa740,s933,s933
sa741,s935,s935
sa742,s936,s936
sa743,s939,s939
sa744,s940,s940
sa745,s1908,s1908
sa746,s1909,s1909
sa747,s945,s945
sa748,s946,s946
sa749,s947,s947
sa750,s948,s948
sa751,s949,IL2
sa752,s952,s952
sa753,s953,s953
sa754,s954,s954
sa755,s955,s955
sa756,s956,s956
sa757,s957,PTK2B
sa759,s959,CD40
sa760,s960,CD40LG
sa761,s962,s962
sa762,s963,s963
sa767,s969,IL6
sa768,s975,s975
sa769,s974,s974
sa770,s978,s978
sa771,s979,s979
sa772,s976,s976
sa777,s984,PLCB
sa778,s985,PLCB
sa779,s986,PTEN
sa78,s291,s291
sa780,s987,AKT
sa782,s990,s990
sa783,s991,s991
sa784,s992,s992
sa785,s994,s994
sa786,s995,s995
sa787,s996,s996
sa79,s293,s293
sa792,s1009,TNFSF11
sa794,s1015,s1015
sa796,s1018,TNFRSF1B
sa797,s1023,s1023
sa798,s1021,LTA
sa799,s1163,s1163
sa8,s61,JAK1
sa80,s2028,s2028
sa802,s1026,s1026
sa803,s1027,CXCL13
sa804,s1028,CXCR5
sa807,s1900,s1900
sa808,s1901,s1901
sa81,s121,s121
sa810,s1040,RIGI
sa811,s1041,RIGI
sa813,s1043,IFIH1
sa814,s1044,IFIH1
sa815,s1045,MAVS
sa816,s1046,MAVS
sa817,s1047,IL10
sa819,s1049,IL1R1
sa82,s122,s122
sa820,s1050,CXCL8
sa822,s1051,IL2RA
sa823,s1052,IL10
sa825,s1054,IL1R1
sa826,s1055,CXCL8
sa828,s1056,IL2RA
sa83,s2006,s2006
sa830,s1058,s1058
sa831,s1059,CXCL8
sa834,s1061,IL2RA
sa835,s1062,IL10
sa846,s1074,s1074
sa847,s1075,dsRNA
sa848,s1076,BAD
sa849,s1077,CASP3
sa851,s1078,BAD
sa852,s1079,CASP3
sa853,s1080,MUC1
sa854,s1081,TLR4
sa855,s1082,MUC1
sa856,s1083,TLR4
sa858,s1085,MIR145
sa861,s1094,CD27
sa863,s1096,CD70 homotrimer
sa864,s1098,s1098
sa865,s1099,s1099
sa870,s1105,TNFSF15
sa876,s1113,TNFRSF25
sa881,s1120,s1120
sa882,s1121,s1121
sa893,s1141,MAP3K14
sa894,s1142,MAP3K14
sa895,s1145,s1145
sa896,s1146,s1146
sa897,s1147,BIRC2
sa9,s60,TYK2
sa901,s1151,s1151
sa902,s1152,s1152
sa906,s1157,TNFSF14
sa908,s1159,s1159
sa909,s1160,s1160
sa910,s1164,LTBR
sa911,s1166,LTB
sa912,s1167,s1167
sa913,s1168,s1168
sa914,s1174,s1174
sa915,s1175,s1175
sa916,s1172,VCAM1
sa917,s1177,s1177
sa918,s1178,s1178
sa919,s1179,s1179
sa920,s1180,s1180
sa922,s1185,s1185
sa923,s1186,s1186
sa924,s1188,s1188
sa925,s1189,s1189
sa926,s1190,s1190
sa961,s1239,sialic_acid
sa962,s1241,s1241
sa963,s1242,CD22
sa964,s1243,s1243
sa965,s1245,s1245
sa966,s1351,FCGR3A
sa967,s1248,s1248
sa968,s1249,s1249
sa969,s1374,s1374
sa99,s143,TNFAIP3
