alias_id,species_id,biological_name
sa1158,s1554,s1554
sa1159,s1555,CCR3
sa1160,s1556,CCL11
sa1161,s1558,s1558
sa1162,s1559,s1559
sa1168,s1565,TNF
sa1172,s1569,s1569
sa1176,s1575,PG
sa1177,s1576,ICAM1
sa1178,s1577,CD40
sa1179,s1578,ICAM1
sa118,s170,LPS
sa1180,s1579,CD40
sa1182,s1956,s1956
sa1183,s1586,s1586
sa1184,s1591,Chemotaxis/Infiltration
sa1185,s1066,IL17A
sa1186,s1068,IL17A
sa1187,s1067,IL23A
sa1188,s1069,IL23A
sa1189,s1592,IL17A
sa119,s171,s171
sa1190,s1593,IL23A
sa1191,s1595,IL6
sa1192,s1596,IL12
sa1193,s1597,CCL5
sa1194,s1598,CCL2
sa1195,s1599,IL6
sa1196,s1600,IL12
sa1197,s1601,CCL2
sa1198,s1602,CCL5
sa1200,s1603,IL12
sa1201,s1604,CCL2
sa1202,s1605,CCL5
sa1203,s1606,TNFSF13B
sa1204,s1607,TNFSF13B
sa1205,s1608,TNFSF13B
sa1209,s1612,PRMT5
sa121,s177,MYD88
sa1210,s2205,TP53
sa1211,s1614,IFNG
sa1212,s1615,IFNG
sa1213,s1616,HNRNPA2B1
sa1214,s1617,RPLP0
sa1215,s1618,ARF1
sa1216,s1619,PSME2
sa1217,s1620,LMNB1
sa1218,s1621,HNRNPA2B1
sa1219,s1622,RPLP0
sa122,s178,MYD88
sa1220,s1623,ARF1
sa1221,s1624,PSME2
sa1222,s1625,LMNB1
sa1223,s1626,HNRNPA2B1
sa1224,s1627,RPLP0
sa1225,s1628,ARF1
sa1226,s1629,PSME2
sa1227,s1630,LMNB1
sa1229,s1635,"NFATC1,2,3"
sa1230,s1632,"NFATC1,2,3"
sa1231,s2186,"NFATC1,2,3"
sa1234,s1637,PLCG
sa1235,s1638,PLCG
sa1236,s1639,PRKC
sa1237,s1640,PRKC
sa124,s333,s333
sa1241,s1644,JUN
sa1242,s1645,FOS
sa1243,s1646,JUN
sa1244,s1647,FOS
sa1245,s1648,CAMKMT
sa1246,s1649,TLR10
sa1247,s1650,TLR10_ligand
sa1248,s1652,s1652
sa1249,s1653,s1653
sa1250,s1654,TNFRSF17
sa1252,s1656,s1656
sa1253,s1659,s1659
sa1254,s1660,TNFRSF13C
sa1255,s1663,SOCS3
sa1256,s1664,SOCS3
sa1258,s1666,SOCS3
sa1259,s1667,SOCS2
sa126,s332,s332
sa1260,s1668,IFNG
sa1261,s1669,TNF
sa1262,s1670,TNF
sa1265,s1672,TNF
sa1268,s1675,SRC
sa1269,s1676,SRC
sa127,s335,s335
sa1270,s1677,MAP2K1
sa1271,s1679,MAP2K1
sa1272,s1680,SHC1
sa1273,s1681,GRB2
sa1274,s1682,SOS2
sa1275,s1683,RRAS
sa1276,s1684,RAF
sa1278,s1686,MAPK3
sa1279,s1741,MAPK3
sa1281,s1687,Cell_Proliferation/Survival
sa1286,s1693,s1693
sa1287,s1805,TRADD
