hgnc_symbol,bnet_node,kind,source_match,suffix
TYK2,TYK2_phosphorylated,phosphorylated,exact,phosphorylated
UBA7,UBA7,protein,exact,protein
UBE2L6,UBE2L6,protein,exact,protein
USP18,USP18,protein,exact,protein
VCAM1,VCAM1,protein,heuristic,protein
VCAM,VCAM_ITGA4_ITGB1_complex,complex_member,heuristic,complex
ITGA4,VCAM_ITGA4_ITGB1_complex,complex_member,exact,complex
ITGB1,VCAM_ITGA4_ITGB1_complex,complex_member,exact,complex
VEGFA,VEGFA,protein,heuristic,protein
VEGFA,VEGFA_VEGFR2_complex,complex_member,heuristic,complex
VEGFR2,VEGFA_VEGFR2_complex,complex_member,heuristic,complex
VIM,VIM,protein,exact,protein
XAF1,XAF1,protein,exact,protein
XAF1,XAF1_rna,rna,exact,rna
XCL1,XCL1,protein,heuristic,protein
XCL1,XCL1_XCL2_XCR1_complex,complex_member,heuristic,complex
XCL2,XCL1_XCL2_XCR1_complex,complex_member,exact,complex
XCR1,XCL1_XCL2_XCR1_complex,complex_member,heuristic,complex
XCL2,XCL2,protein,exact,protein
XCR1,XCR1,protein,heuristic,protein
XIAP,XIAP_Cell,cell_localised,heuristic,cell_localised
XIAP,XIAP_Cell_active,active,heuristic,active
XIAP,XIAP_rna,rna,heuristic,rna
CD22,sialic_acid_CD22_complex,complex_member,exact,complex
