source_alias,relation,target_alias,source_name,target_name
sa1728,POSITIVE,sa500,HLA-A,MHC_Class_1_Activation
sa1727,POSITIVE,sa500,HLA-B,MHC_Class_1_Activation
sa1726,POSITIVE,sa500,HLA-C,MHC_Class_1_Activation
sa1729,POSITIVE,sa500,HLA-G,MHC_Class_1_Activation
sa1730,POSITIVE,sa500,HLA-H,MHC_Class_1_Activation
sa502,POSITIVE,sa503,IFI30,IFI30
sa510,POSITIVE,sa1732,HLA-DRB4,HLA-DRB4
sa511,POSITIVE,sa1731,HLA-DRA,HLA-DRA
sa512,POSITIVE,sa1733,HLA-DQA1,HLA-DQA1
sa513,POSITIVE,sa1734,HLA-DQA2,HLA-DQA2
sa1732,POSITIVE,sa518,HLA-DRB4,MHC_Class_2_Activation
sa1731,POSITIVE,sa518,HLA-DRA,MHC_Class_2_Activation
sa1733,POSITIVE,sa518,HLA-DQA1,MHC_Class_2_Activation
sa1734,POSITIVE,sa518,HLA-DQA2,MHC_Class_2_Activation
sa539,POSITIVE,sa558,NCAM1,NCAM1
sa540,POSITIVE,sa559,PML,PML
sa541,POSITIVE,sa1698,SP100,SP100
sa542,POSITIVE,sa1032,FCGR1A,FCGR1A
sa543,POSITIVE,sa562,FCGR1BP,FCGR1BP
sa544,POSITIVE,sa566,MT2A,MT2A
sa545,POSITIVE,sa1652,GBP4,GBP4
sa546,POSITIVE,sa1656,GBP5,GBP5
sa547,POSITIVE,sa1655,GBP6,GBP6
sa548,POSITIVE,sa1651,GBP3,GBP3
sa549,POSITIVE,sa1649,GBP1,GBP1
sa550,POSITIVE,sa575,TRIM5,TRIM5
sa551,POSITIVE,sa576,TRIM6,TRIM6
sa552,POSITIVE,sa577,TRIM14,TRIM14
sa554,POSITIVE,sa579,TRIM22,TRIM22
sa555,POSITIVE,sa580,TRIM25,TRIM25
sa556,POSITIVE,sa581,TRIM34,TRIM34
sa580,POSITIVE,sa811,TRIM25,RIGI
sa580,POSITIVE,sa814,TRIM25,IFIH1
sa601,POSITIVE,sa601,EIF2AK2 homodimer,EIF2AK2 homodimer
sa601,POSITIVE,sa604,EIF2AK2 homodimer,PTPN2
sa601,POSITIVE,sa610,EIF2AK2 homodimer,MAP2K6
sa601,POSITIVE,sa1210,EIF2AK2 homodimer,TP53
sa601,POSITIVE,sa1685,EIF2AK2 homodimer,RIPK1
sa608,POSITIVE,sa601,ADAR1 homodimer,EIF2AK2 homodimer
sa625,POSITIVE,sa601,ISG15,EIF2AK2 homodimer
sa610,POSITIVE,sa1530,MAP2K6,"MAPK11,12,13,14"
sa1339,POSITIVE,sa610,MAP3K5,MAP2K6
sa1339,POSITIVE,sa660,MAP3K5,MAP2K3
sa612,POSITIVE,sa1218,STAT4 homodimer,HNRNPA2B1
sa612,POSITIVE,sa1219,STAT4 homodimer,RPLP0
sa612,POSITIVE,sa1220,STAT4 homodimer,ARF1
sa612,POSITIVE,sa1221,STAT4 homodimer,PSME2
sa612,POSITIVE,sa1222,STAT4 homodimer,LMNB1
sa612,POSITIVE,sa1260,STAT4 homodimer,IFNG
