drug,mechanism,best_phase,condition,targets_found,base_n_fp,base_min_pheno,pert_n_fp,pert_min_pheno,delta_min_pheno,disease_eliminated,pert_best_phenos,expected_effect
Anifrolumab,anti-IFNAR1 mAb,2,IFN-stimulated,IFNAR_complex,2,6,2,6,0,False,B Cell Activation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ IFN-I signaling
Anifrolumab,anti-IFNAR1 mAb,2,BCR-stimulated,IFNAR_complex,2,7,2,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ IFN-I signaling
Hydroxychloroquine,TLR7/9 antagonist,4,Naive,CpG_DNA_TLR9_complex|TLR7_ssRNA_complex,2,2,2,2,0,False,Chemotaxis Infiltration|Regulated Necrosis,↓ TLR-innate signaling
Hydroxychloroquine,TLR7/9 antagonist,4,IFN-stimulated,CpG_DNA_TLR9_complex|TLR7_ssRNA_complex,2,6,2,6,0,False,B Cell Activation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ TLR-innate signaling
Hydroxychloroquine,TLR7/9 antagonist,4,BCR-stimulated,CpG_DNA_TLR9_complex|TLR7_ssRNA_complex,2,7,2,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ TLR-innate signaling
p38-inhibitor,p38 MAPK inhibitor,0,Naive,MAPK11_12_13_14_phosphorylated,2,2,2,2,0,True,Chemotaxis Infiltration|Regulated Necrosis,↓ AP1/inflammation (predicted)
p38-inhibitor,p38 MAPK inhibitor,0,IFN-stimulated,MAPK11_12_13_14_phosphorylated,2,6,2,6,0,False,B Cell Activation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ AP1/inflammation (predicted)
p38-inhibitor,p38 MAPK inhibitor,0,BCR-stimulated,MAPK11_12_13_14_phosphorylated,2,7,2,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ AP1/inflammation (predicted)
AP1-inhibitor,AP1 inhibitor,0,Naive,AP1_complex,2,2,2,2,0,True,Chemotaxis Infiltration|Regulated Necrosis,↓ AP1/inflammation (predicted)
AP1-inhibitor,AP1 inhibitor,0,IFN-stimulated,AP1_complex,2,6,2,6,0,False,B Cell Activation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ AP1/inflammation (predicted)
AP1-inhibitor,AP1 inhibitor,0,BCR-stimulated,AP1_complex,2,7,2,2,5,True,Chemotaxis Infiltration|Regulated Necrosis,↓ AP1/inflammation (predicted)
PKR-inhibitor,PKR/EIF2AK2 inhibitor,0,Naive,EIF2AK2_homodimer,2,2,1,2,0,True,Chemotaxis Infiltration|Regulated Necrosis,↓ PKR→p38→AP1 (predicted)
PKR-inhibitor,PKR/EIF2AK2 inhibitor,0,IFN-stimulated,EIF2AK2_homodimer,2,6,1,6,0,False,B Cell Activation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ PKR→p38→AP1 (predicted)
PKR-inhibitor,PKR/EIF2AK2 inhibitor,0,BCR-stimulated,EIF2AK2_homodimer,2,7,1,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ PKR→p38→AP1 (predicted)
